generation,fitness,survivors,pipesPassed
308,0,0
271,0,0
1230,0,5
629,0,2
1139,0,4
254,0,0
927,0,3
892,0,3
598,0,1
1038,0,3
1025,0,4
313,0,0
1022,0,4
954,0,3
775,0,2
1437,0,5
1097,0,4
438,0,1
1581,0,5
1407,0,5
978,0,4
1780,0,7
858,0,3
1230,0,5
299,0,0
832,0,2
1264,0,5
1137,0,5
3165,0,16
2942,0,14
5651,0,26
9496,0,49
5344,0,28
8225,0,43
9403,0,42
8207,0,40
10000,3,50
10000,4,49
8888,0,41
10000,4,51
10000,16,51
5643,0,27
10000,15,46
10000,21,49
3917,0,17
10000,14,50
10000,18,49
10000,14,45
10000,15,46
10000,24,50